gvkey,year,patentcount
64768,2017,646
160329,2017,1013
64768,2016,1656
104604,2017,2815
104604,2013,5953
104604,2014,6509
100737,2013,83
100737,2014,123
100737,2017,39
160329,2016,3210
6008,2017,1190
12141,2017,850
100737,2015,130
6008,2016,3090
104604,2015,6939
64768,2015,1128
104604,2016,7548
160329,2015,3201
8530,2003,322
100737,2016,122
6008,2015,2269
12141,2015,2364
12141,2016,2362
100737,2012,53
25648,2017,79
1690,2017,789
6008,2014,1818
12141,2014,2837
25648,2016,256
104604,2012,5587
7257,2010,347
6266,2017,177
19661,2010,840
25648,2010,319
6008,2013,1587
25648,2012,375
25648,2013,371
12141,2013,2660
7257,2017,66
6008,2012,1364
7257,2016,190
101204,2004,118
1690,2016,2114
19661,2017,680
25648,2014,380
101310,2013,335
160329,2014,2585
12141,2012,2623
101310,2011,251
19661,2007,388
25648,2015,245
8530,2010,94
25648,2009,250
19661,2011,1035
19661,2015,1707
100737,2011,42
101310,2012,330
19661,2016,1618
64768,2014,741
6266,2015,697
19661,2008,436
6266,2016,495
8530,2011,56
100737,2010,59
8530,2005,257
101310,2014,278
101310,2010,252
12141,2011,2296
101310,2016,274
12141,2009,2903
101310,2017,109
101310,2015,250
104604,2011,5348
5073,1996,705
25648,2011,355
19661,2013,1395
6266,2012,432
6266,2013,619
8530,2004,287
12141,2010,3080
6730,2008,76
6266,2014,702
8530,2008,100
19661,2012,1367
6266,2007,241
23671,2009,716
7257,2011,280
8530,2006,214
8530,2014,60
5073,1995,695
8530,2016,74
19661,2014,1616
8530,2007,153
6008,2011,1264
23671,2008,655
25648,2008,198
23671,2007,736
5073,1997,698
7257,2012,270
12141,2008,2024
5073,2011,1124
5073,2016,1101
5073,2007,553
1690,2015,1967
104604,2010,4934
4839,2005,317
4839,2017,571
5073,2008,513
160329,2013,1854
8530,2009,91
5073,1998,599
8530,2012,81
100737,2009,32
23671,2010,860
12141,2004,634
100737,2007,19
19661,2009,538
6266,2008,240
170617,2017,198
4839,2002,418
8530,2015,68
6266,2006,280
17828,2004,316
8530,2017,20
6266,2011,392
19661,2006,420
7257,2013,289
4839,2003,402
4839,2007,357
5073,2015,1278
101310,2009,141
25648,2007,207
4839,2004,381
4839,2001,409
5073,2014,1426
5073,2012,1424
4839,2016,1530
4839,2008,341
5073,2017,366
23671,2011,1065
101310,2008,114
4839,2006,373
5073,2013,1691
7257,2014,221
17828,2017,22
12141,2007,1643
100737,2008,23
4839,1999,427
5691,2017,470
5073,1994,805
17828,2006,272
19661,2004,296
17828,2003,330
6266,2009,305
5073,2010,978
19661,2005,297
4839,2014,816
5180,2010,166
6266,2010,481
4839,1996,390
4839,2000,369
5073,1999,383
160329,2012,1155
5180,2006,141
7257,2015,182
5073,2005,412
4839,2015,1209
17828,2005,268
9459,2007,12
8530,2013,56
6266,2005,213
5180,2009,161
101204,2007,145
5073,2000,316
5073,2006,551
12141,2006,1468
101204,2017,89
6008,2010,1665
101204,2013,225
101204,2009,151
64768,2013,536
4839,1995,351
2285,2009,592
5180,2013,155
5073,2004,412
101204,2012,187
19661,2003,298
5180,2012,145
101310,2007,82
5180,2007,167
2403,2017,140
4839,2013,728
6730,2017,13
7114,2010,3015
19349,2006,1490
101204,2008,138
17828,2002,469
4839,1997,362
7114,2011,2968
5691,2011,1270
23671,2012,1372
4839,1998,473
20779,2016,977
20779,2014,1102
19349,2004,1393
101204,2011,171
5180,2011,115
19349,2005,1261
20779,2015,968
5691,2016,1351
5073,2001,199
12141,2005,749
19349,2001,1442
12142,2016,701
5691,2013,1442
19349,2017,512
12142,2017,256
20779,2017,342
17828,2007,184
5180,2017,38
100737,2006,11
5073,2009,624
1690,2014,2029
6066,2012,6483
5073,1993,809
6066,2008,4192
28272,2015,39
6066,2011,6176
6066,2013,6843
5691,2012,1441
17828,2000,504
20779,2013,893
19349,1992,485
2403,2015,320
170617,2016,445
5073,1992,750
13599,2017,30
23671,2017,464
19349,2003,1349
5691,2010,1307
28272,2016,29
5073,1991,834
6008,2006,1966
5691,2007,930
101204,2006,128
7257,2009,320
5691,2015,1480
101204,2010,169
101204,2014,240
17828,1998,229
20779,2011,996
19349,2013,1796
5073,2002,213
6066,2017,3412
12142,2015,697
17828,1999,276
28272,2017,7
6008,2007,1881
6066,2007,3187
6066,2016,8135
19349,2002,1391
7114,2004,2222
6008,2008,1786
6066,2010,5893
19349,2009,1277
5073,2003,305
6066,2006,3683
5691,2008,969
100022,2013,83
6008,2009,1552
17828,2013,94
6266,2003,336
6730,2013,43
28272,2014,43
19349,1999,1168
7114,2003,2051
19661,2002,327
7114,2007,2191
17828,2016,83
12142,2014,806
6066,2009,4914
28272,2011,115
5650,1994,1355
101204,2015,209
17828,2012,90
4839,2012,648
24800,2015,3026
20779,2012,959
24800,2017,955
17828,2014,93
