country,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
Argentina,7,9,20.79,10613.29,11124.781428571428,47556.92,17815.72
Australia,264,1711,9123.22,244385.97,16806.915817490495,1514600.45,528462.31
Austria,21,425,1593.01,6977.27,6210.607619047619,131260.97,12575.98
Bahamas,14,24,54.74,0.9500000000000001,3.217857142857143,15.68,-73.1
Belgium,101,3040,13939.4,49172.01,15804.8575,636700.49,167906.97
Belize,1,1,0,7,591.9,60.7,46.6
Bermuda,67,6759,12321.8,16416.68,5301.145303030303,132045.67,28329.8
Brazil,82,550,23427.57,527339.2,57873.61463414634,2204931.91,612821.05
Canada,2100,22384,85487.43,568716.91,7317.937206379894,4675182.05,1009652.77
Cayman Islands,20,509,425.1,78.03,149.553,1717.3,94.7
Chile,2,2,0.42,60.47,802.96,876.51,196.19
China,168,6380,60661.26,737018.44,39357.91902439024,6994459.84,907417.63
Denmark,181,4501,44953.77,67742.76,5418.576740331491,816156.75,194225.02
Finland,172,17683,103768.18000000001,60777.12,9909.02023255814,1736326.98,214983.02
France,685,34183,440115.62,828342.21,29751.05407952872,13357831.64,2147398.5
Germany,858,109144,870707.61,1507097.32,37621.96444055944,20787677.57,2703978.57
Gibraltar,7,56,0,0.15,14.23857142857143,0.03,-28.45
"Hong Kong, SAR China",105,2396,11341.7,161259.3,14353.722,1063778.27,276086.74
Iceland,12,63,371.8,105.61,177.88454545454545,389.89,-482.71999999999997
India,61,8663,4058.87,39011.47,9001.299344262296,401941.18,71458.48
Indonesia,6,10,0,3089.08,3831.605,10226.28,4545.66
Ireland,407,33030,98731.71,74952.84,6494.664384236453,2318934.22,357881.37
Israel,590,3256,32487.66,18912.54,1360.7395689655173,346457.32,85182.89
Italy,165,2055,27046.79,410728.38,47427.98496969697,4366565.87,1057243.56
Japan,6611,840416,2162527.47,3730912.3,15758.28554174875,64923218.73,7244453.03
Jersey,4,13,160.4,33.88,224.05249999999998,141.83,-344.64
Luxembourg,85,609,5202.14,54860.21,18114.20775,1013119.26,127802.94
Malaysia,1,1,1.06,1.61,137.75,58,6.19
Mexico,12,17,0,5566.64,15234.679166666667,88416.52,19617.5
Netherlands,433,45302,205392.29,221361.74,18369.90935034803,4759615.83,520288.37
Netherlands Antilles,21,170,27.79,324.65,249.7109523809524,4314.12,758.57
New Zealand,30,284,444.19,930.8000000000001,586.8767857142857,18440.56,3118.7599999999998
Norway,121,1041,10137.11,238961.98,18728.45429752066,1820476.25,505214
Panama,17,479,2694.59,1750.85,1223.8276470588235,17158.7,4721.51
Russian Federation,7,9,0,6143.25,5643.805714285714,28751.670000000002,13371.64
Saudi Arabia,15,263,3269.75,59592.58,67137.618,502334.25,161348.28
Singapore,102,3172,4449.16,20413.43,2755.634901960784,398676.69,25699.02
South Africa,29,186,1390.19,38289.16,10580.627586206896,230923,65229.78
South Korea,359,132768,142690.76,866377.1,27403.280974930363,7256485.95,1298878.02
Spain,44,140,7696.81,186328.41,71254.22386363636,1518424.31,316436.97
Sweden,314,22453,179770.58,153170.28,11519.942738853504,3046830.12,398198.59
Switzerland,475,36306,411482.2,342370.76,50072.49968085106,6675565.25,1568493.7
Taiwan,815,68255,110927.92,309792.63,4483.617457002457,3902852.12,495392.52
Thailand,3,3,0,7591.61,17528.173333333332,18882.05,13301.43
Turkey,10,69,348.76,1638.36,4290.737777777778,38839.6,4021.6400000000003
United Arab Emirates,2,2,0,0,0.06,0.02,-0.06
United Kingdom,1258,42874,477778.6,1205151.86,48016.322268704746,17527855.06,3122740.23
United States,42513,1279555,5022934.9,10144492.75,9737.211303732489,165315995,31251844.57
