industry_code,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1,2286,27342,161549.77,608613.15,7863.768385949311,15876007.04,2622931.71
2,3951,244070,1769330.76,3555522.09,15057.382436781609,48657291.68,5108028.19
3,12327,518756,1532188.99,2428234.59,5003.602697173842,53141346.36,6240670.35
4,1522,59079,193271.6,4211737.47,28907.131154611812,40626433.48,6922623.09
5,3898,176806,686693.86,1188858.63,6749.957044868489,22981000.95,3411215.09
6,16582,1225035,3283073.62,2827024.63,3376.334276938199,45092391.94,7589231.68
7,1160,55045,228654.89,3553905.97,42644.34278988666,23294516.87,7359671.09
8,565,1789,4937.27,1006338.28,30918.06964539007,6080013.05,1569472.36
9,1186,48806,88144,827432.79,14907.04503849444,30267097.93,1740643.19
10,11660,228655,2252729.53,879026.78,2500.398212280702,16693818.83,4404616.11
11,1492,16240,13064.48,311832.76,216868.0576290761,18624990.34,7328325.55
12,2719,129249,375945.08999999997,1530029.09,12945.538334580839,19303842.9,3259067.52
NA,29,349,381.26,305.61,698.1148275862068,14318.01,1815.8899999999999
