region,sic_2d,year,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
Asia Pacific,10,1993,1,2,56,2080,20472,12218,2712
Asia Pacific,10,1994,1,4,83,2521,21776,12754,2986
Asia Pacific,10,1995,1,1,151.62,3359.58,28113.54,15260.95,2871.2
Asia Pacific,10,1996,1,1,149,3625,28029,15983,2060
Asia Pacific,10,1997,1,1,113,2813,23213,13264,-981
Asia Pacific,10,1999,1,6,0,0,NaN,0,0
Asia Pacific,10,2000,1,3,56,881,17521,12841,1521
Asia Pacific,10,2001,1,4,18,1267,14885,10578,1919
Asia Pacific,10,2002,1,7,26,2749,29862,16029,3596
Asia Pacific,10,2003,1,1,40,2919,28877,15755,4025
Asia Pacific,10,2004,1,3,19,3043,31179,23118,6034
Asia Pacific,10,2005,1,5,33,4364,42110,29919,9356
Asia Pacific,10,2006,1,3,76,6005,48516,32735,12632
Asia Pacific,10,2007,1,7,169,7158,58168,39940,16314
Asia Pacific,10,2008,1,8,244,8908,75889,59932,27705
Asia Pacific,10,2009,1,8,156,10735,78770,50535,17066
Asia Pacific,10,2010,2,9,65,10722.96,46162.59,54214.15,25511.61
Asia Pacific,10,2011,1,6,74,12387,102891,72065,36853
Asia Pacific,10,2012,1,6,75,20837,129272.99,72556,33407
Asia Pacific,10,2013,2,5,64,22899,69054.52,66604,27045.37
Asia Pacific,10,2014,1,6,43,17003,151413,67927,30350
Asia Pacific,10,2015,1,2,0,0,0,0,-0.12
Asia Pacific,10,2016,2,2,0,7711,59476.5,31356,4572.95
Asia Pacific,13,1989,1,60,0,0,2315.21,442.73,331.06
Asia Pacific,13,1990,1,35,0,0,2284.67,547.16,358.3
Asia Pacific,13,1991,1,51,0,148.06,2110.32,508.81,143.2
Asia Pacific,13,1992,1,41,0,133.12,1955.8,492.43,337.75
Asia Pacific,13,1993,1,47,0,194.54,1920.4,490.61,181.17
Asia Pacific,13,1994,1,43,0,200.34,2246.2,523.87,321.98
Asia Pacific,13,1995,1,44,0,145.67,2166.8,522.69,340.24
Asia Pacific,13,1996,1,85,0,282.81,2735.44,604.14,400.3
Asia Pacific,13,1997,1,57,0,447.97,2629.58,523.16,346.99
Asia Pacific,13,1998,1,20,0,338.79,2593.76,482.68,299.72
Asia Pacific,13,1999,1,10,0,291.54,3004.55,654.07,433.78
Asia Pacific,13,2006,1,1,0,30.65,864.19,1787.65,270.5
Asia Pacific,13,2008,1,2,0,3352.46,10429.02,4184.46,3070.93
Asia Pacific,13,2009,1,1,0,119.02,2844.23,4685.56,524.86
Asia Pacific,13,2010,2,3,0,2198.99,7229.85,9004.07,3792.8199999999997
Asia Pacific,13,2011,2,3,0,3629.51,13413.06,10803.7,3316.5
Asia Pacific,13,2012,1,1,0,2805.79,19637.02,6840.24,4672.53
Asia Pacific,13,2013,4,6,0,7202.67,17099.59,24557.4,10988.02
Asia Pacific,13,2014,1,1,0,2757.57,18262.57,3329.68,511.63
Asia Pacific,13,2015,2,2,0,1530.3999999999999,10024.93,9122.98,-991.2500000000001
Asia Pacific,13,2016,1,1,0,1608,24753,4075,2633
Asia Pacific,14,2001,1,1,0.1,101.31,1437.36,841.11,140.41
Asia Pacific,14,2003,1,1,0.96,187.28,2286.21,2231.08,303.82
Asia Pacific,14,2007,1,1,0,635.81,12532.07,5301.85,974.62
Asia Pacific,14,2009,1,1,0,1732.82,17871.52,6502.71,934.73
Asia Pacific,15,1987,1,1,0,0,13403.16,9945.99,323.07
Asia Pacific,15,1988,1,2,0,0,14772.35,11414.13,402.92
Asia Pacific,15,1989,1,2,66.22,0,14240.55,10611.83,435.51
Asia Pacific,15,1990,2,4,236.82,0,13079.54,19037.78,1116.26
Asia Pacific,15,1991,1,3,105.57,0,23477.39,15241.19,959.87
Asia Pacific,15,1992,2,3,380.35,0,18631.18,28399.94,1513.0500000000002
Asia Pacific,15,1993,2,6,430.95,0,20365.31,31470.46,1455.42
Asia Pacific,15,1994,1,3,326.12,0,9906.96,11839.89,703.46
Asia Pacific,15,1995,1,5,275.26,0,8500.73,10065.64,893.47
Asia Pacific,15,1996,2,11,257.41,0,8491.47,19147.62,1632.37
