year,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1980,539,16088,27208.68,145371.18,2639.174567669173,1573666.54,218363.22
1981,537,17832,32372.52,170689.61,2762.5902071563087,1693723.3699999999,233418.93
1982,547,16299,36271.67,163708.45,2843.248521256932,1674446.49,224959.55
1983,566,16579,39932.29,143671.65,3239.194318996416,1787384.22,259386.19
1984,637,20162,48634.19,147090.6,2789.601316211878,1867764.42,272482.91
1985,650,21651,52358.36,224361.35,2963.51263322884,1984013.26,290680.03
1986,695,20130,60784.13,164946.57,3125.783753623188,2062789.42,294821.35
1987,917,29067,79017.8,165498.45,3333.6526460859977,2951764.68,366523.32
1988,959,27880,85885.75,193657.41,4021.3149574468084,3277556.42,444907.12
1989,1078,37937,109872.9,222268.24,4391.540114176974,3904917.9899999998,533489.74
1990,1090,36397,132776.23,256145.66,4598.123568030447,4425878.54,562046.36
1991,1160,39713,137501.19,263622.52,4885.552153708669,4625424.35,544029.19
1992,1266,41795,149362.74,248299.51,4499.757547325103,4771910.93,534524.49
1993,1337,44115,152286.68,266064.75,5056.853546375682,5179553.37,586521.14
1994,1482,46201,171651.09,333732.33,5153.809151009046,6032259.97,757395.33
1995,1607,46666,187889.21,381665.21,4797.891602279924,6300712,900429.68
1996,1776,52102,199719.78,450345.94,4485.624217765043,6510887.84,951190.08
1997,1850,54190,214618.04,480254.69,4503.273974501109,6642922.36,1026956.24
1998,2102,73436,255255.23,531149.39,5087.153397590361,7250988.22,1156234.61
1999,2154,77744,285523.98,646668.74,6281.204580403188,8129417.61,1398882.75
2000,2281,81788,303602.36,732679.35,7319.767050487157,9320651.96,1656294.09
2001,2310,88277,321845.19,681144.93,6835.134778216952,9303855.75,1431797.44
2002,2272,91913,332860.39,673328.64,7889.12615658363,9791771.29,1613747.3
2003,2284,94636,365891.38,668982.59,9753.103653250773,10940786.19,1838194.9
2004,2209,94538,393131.57,814864.34,10760.70552559415,12572690.75,2206015.54
2005,2090,83148,381616.8,804406.88,11538.075871029836,12454075.58,2209002.01
2006,2144,102403,440163.4,985693.42,14731.255346208196,14583941.6,2724095.39
2007,2062,92747,498911.12,1091882.13,18199.23811886051,16478124.1,3160330.19
2008,1975,95004,509747.61,1109640.44,18538.34257731959,16544328.27,2545273.52
2009,1986,101851,479025.55,985780.06,21499.848859649122,15337688.93,2406128.03
2010,2055,130480,527229.22,1069058.68,24901.45109273183,17514421.23,3335508.48
2011,2091,132422,565795.81,1220968.01,23585.92315917969,19182842.45,3523148.89
2012,2169,147889,580083.71,1345113.27,24013.733172897195,19651495.75,3505569.97
2013,2225,159927,594577.91,1385284,24564.285022644926,19890459.14,3683326.39
2014,2183,170966,596474.67,1334484.41,25978.778785648574,19318538.28,3578778.81
2015,2111,164386,611679.68,1249570.76,23804.473077287814,17742948.67,3294847.98
2016,1981,162862,628406.29,1176767.68,26351.078489135925,17376467.44,3289010.66
