year,country,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1980,Canada,11,70,184.29,3620.32,2562.47,16553,3842.39
1980,Ireland,5,259,208.19,342.77000000000004,1218.56,7786.71,964.26
1980,Israel,1,1,0.28,0.2,10.64,5.2,1.54
1980,Japan,13,1797,2467.44,4279.23,6729.263076923077,139274.24,9129.89
1980,Netherlands,2,362,209,1717.7,12812.5,30811,2608
1980,Panama,1,20,54.39,53.21,707.51,579.51,111
1980,Singapore,1,2,5.68,1.47,42.17,49.78,13.99
1980,Sweden,1,12,231.3,343,4043.68,2859.84,366.22
1980,Switzerland,1,3,0,0,63.97,0,-2.26
1980,United Kingdom,5,124,277.53,4514.17,9730.598,59162.37,9705.82
1980,United States,498,13438,23570.58,130499.11,2450.375804480652,1316584.89,191622.37
1981,Canada,10,97,245.93,4344.259999999999,3607.261,20600.65,3903.96
1981,Ireland,5,273,272.86,394.68,1324.286,8558.9,1004.05
1981,Japan,13,2333,2727.36,11771.12,9668.574615384616,147984.62,17270.63
1981,Netherlands,2,415,1377,1597.3,12185.5,30555,2623
1981,Panama,1,25,65.52,75.09,771.24,710.88,148.5
1981,Singapore,1,1,7.57,1.11,43.35,40.04,3.27
1981,Sweden,1,9,247.5,301.1,3988.4,3036.7,513.5
1981,United Kingdom,5,136,331.15,6054.38,10062.006,58168.88,7747.46
1981,United States,499,14543,27097.63,146150.57,2472.750243407708,1424067.7,200204.56
1982,Canada,16,96,346.42,5159.87,3069.22875,23835.079999999998,3476.36
1982,Ireland,5,272,273.29,285.45,1219.764,7449.139999999999,693.03
1982,Israel,1,1,0.54,0.64,13.84,8.18,0.71
1982,Japan,16,2598,3418.93,12736.08,9006.88,174307.23,18584.04
1982,Netherlands,2,424,1399,1325.3,11509,28887,2481
1982,Panama,2,35,83.61,72.28,433.69,825.66,190.28
1982,Singapore,1,3,9.09,2.22,53.69,54.16,5.64
1982,Sweden,1,12,224.1,232.1,3485.7,2760.8,428.2
1982,Switzerland,1,1,0,2.02,67.04,8.24,5.77
1982,United Kingdom,6,110,778.8100000000001,7193.61,10148.048333333332,68081.6,8328.31
1982,United States,496,12747,29737.88,136698.88,2552.0141836734692,1368229.4,190766.21
1983,Canada,14,103,423.72999999999996,4324.93,3939.6007142857143,30343.72,5111.37
1983,Ireland,5,292,272.01,229.12,1272.61,7344.41,698.96
1983,Israel,1,1,5.02,18.71,291.54,132.07,24.69
1983,Japan,14,2750,4066.17,12863.98,11829.88357142857,197489.6,20554.05
1983,Netherlands,2,416,1261,1292,10939,26766,2509
1983,Panama,2,30,99.76,86.31,507.125,884.6400000000001,213.04999999999998
1983,Singapore,1,2,10.33,7.06,90,67.31,3.92
1983,Sweden,2,25,543.3,507,5180.95,15380.3,1139.8
1983,Switzerland,1,2,0,2.38,61.88,8.54,5.15
1983,United Kingdom,10,164,899.0600000000001,6447.1,6560.497,79435.65,10423.29
1983,United States,514,12794,32351.91,117893.06,2926.9408300395257,1429531.98,218702.91
1984,Canada,22,137,423.74,3453.8500000000004,2404.589523809524,30110.51,5665.7
1984,Ireland,5,371,287.34,281.86,1323.938,8465.88,1051.95
1984,Israel,1,3,7.47,16.99,306.17,147.62,-10.84
1984,Japan,17,3810,4706.72,7922.6,7724.167647058824,190497.06,17008.52
1984,Netherlands,4,576,1389.07,1779.14,6337.51,32316.95,3171.85
1984,Panama,1,24,117.16,82.03,1093.11,916.46,204.43
1984,Singapore,1,3,13.68,7.03,115.39,119.64,25.38
1984,Sweden,4,56,667,800.54,3987.2675,18886.38,1938.67
1984,Switzerland,1,2,0,0.54,53.64,16.14,7.53
1984,United Kingdom,9,195,1109.21,8227.67,8572.77,84537.94,13945.27
1984,United States,572,14985,39912.8,124518.35,2557.195617173524,1501749.84,229474.45
1985,Canada,18,177,529.8199999999999,3231.66,2671.3094444444446,26039.06,5032.530000000001
1985,France,1,141,393.61,480.58,7036.95,4343.52,287.04
1985,Ireland,5,392,318.86,319.93,1593.114,9298.13,1113.98
1985,Israel,2,3,12.83,13.43,177.215,215.27,-59.13000000000001
1985,Japan,17,4450,7990.46,77312.87,13938.779411764706,290689.69,33787.51
1985,Netherlands,4,619,1955.21,2785.91,8041.3175,43889.51,4215.66
1985,Norway,1,5,50.39,835.85,6023.08,5529.64,921.32
1985,Panama,1,36,127.71,55.22,1226.34,948.55,217.31
1985,Singapore,1,1,18.89,11.9,114.78,125.1,0.12
1985,South Africa,1,3,0,1.71,2.97,1.41,-0.06
1985,Sweden,4,63,857.5,1237.3,4990.5025000000005,23589.16,2244.4900000000002
1985,Switzerland,1,7,0,848.48,12226.2,20496,2740.62
1985,United Kingdom,12,273,1829.38,10598.34,9199.420833333334,113933.08,19496.77
1985,United States,582,15481,38273.7,126628.17,2470.539631578947,1444915.14,220681.87
1986,Canada,18,162,721.38,3976.72,3391.4135294117646,30309.24,7456.74
1986,Finland,1,3,4.6,10.55,301.17,248.64,29.56
1986,France,2,103,1016.22,1316.49,8847.05,13915.369999999999,1404.46
1986,Ireland,5,350,331.65,434.87,1641.87,10814.26,1247.65
1986,Israel,3,16,17.259999999999998,13.09,132.79000000000002,304.64,7.199999999999999
1986,Italy,1,1,168,762,13678,10066,1016
1986,Japan,17,4642,10626.08,21545.48,17697.555882352943,333850.51,36386.06
1986,Netherlands,4,630,2571.8,3208.68,11029.6225,50076.26,5141.66
1986,Norway,1,6,83.89,1438.54,8601.01,7687.19,810.95
1986,Panama,2,47,143.02,57.41,633.8199999999999,997,270.64
1986,Singapore,1,3,11.04,1.46,90.32,64.77,-3.36
1986,Sweden,4,79,1106.33,2203.67,6583.4775,28078.43,2731.87
