year,industry_code,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1980,1,32,170,298.33,3765.73,1352.4503125,71802.71,8318.22
1980,2,39,1166,4769.74,14255.52,2573.5520512820513,148397.65,8157.72
1980,3,184,4249,6753.34,20813.1,1333.764640883978,302850.51,34481.11
1980,4,30,1413,2198.3,38816.83,10428.157666666666,479200.42,75703.99
1980,5,39,2087,2338.7200000000003,8302.32,2080.637948717949,111562.32,14008.57
1980,6,121,3478,7134.55,16966.05,1074.9022881355932,140214.74,26638.13
1980,7,5,595,766.92,20271.11,30872.018,73288.84,23934.129999999997
1980,8,4,13,0,12770.02,20233.177499999998,22781.68,6881.75
1980,9,11,81,3.1399999999999997,1025.9,5110.464545454545,103202.29,3127.7400000000002
1980,10,47,1894,1889.39,3933.68,1147.275744680851,58399.33,8702.539999999999
1980,11,5,7,0.02,13.82,28776.7225,14264.2,1722.85
1980,12,22,935,1056.23,4437.1,1709.895,47701.85,6686.47
1981,1,27,201,310.96999999999997,4141.3,1695.025,70617.37,8405.039999999999
1981,2,45,1189,5025.33,14098.43,2181.697272727273,152657.7,10368.32
1981,3,186,4724,7410.57,22011.5,1372.618864864865,310674.26,35031.88
1981,4,33,1606,2913.9,53194,10714.43909090909,530677.09,71501.33
1981,5,42,2276,2741.98,9214.58,2400.4961904761903,128369.88,15801.24
1981,6,108,3941,8332.09,18019.32,1285.0911320754717,149077.61,27769.96
1981,7,6,633,952.2,28191.32,34922.225,99193.16,34804.299999999996
1981,8,4,17,0,11536.98,20353.8975,21239.61,6953.1900000000005
1981,9,12,89,4.25,978.7099999999999,5921.38,108671.84,4306.889999999999
1981,10,53,2095,3481.69,4620.84,1105.4411320754716,63998.22,9758.49
1981,11,4,4,0.05,186.54,6277.615,7218.53,1952.88
1981,12,17,1057,1199.49,4496.09,2502.0958823529413,51328.1,6765.41
1982,1,24,193,403.8,3964.9,1887.1208333333334,69076.81,8647.24
1982,2,45,1290,4978.75,12821.66,2717.383409090909,170367.93,13038.6
1982,3,189,4368,8075.31,19102.99,1353.941914893617,287816.37,26156.17
1982,4,31,1390,3108.43,49339.92,11844.732,469575.55,62213.77
1982,5,42,1975,3586.89,11142.11,2841.822619047619,149941.23,17410.44
1982,6,119,3805,9971.5,18965.58,1266.602905982906,162799.78,30206.07
1982,7,5,523,1142.6,27054.84,44834.674,108817.48999999999,37161.75
1982,8,5,7,0,12214.97,20211.544,30667.100000000002,9432.43
1982,9,17,112,8.3,1369.21,4156.691764705883,119344.25,4936.66
1982,10,50,1705,3757.54,4230.81,1179.145306122449,61568.23,9922.43
1982,11,2,2,0,0,37.445,11.66,9.65
1982,12,18,929,1238.55,3501.46,2342.3161111111112,44460.09,5824.34
1983,1,30,222,419.09,4195.67,1846.979,86063.62,10954.74
1983,2,48,1359,5653.8099999999995,9364.539999999999,2877.2966666666666,210432.42,21842.25
1983,3,187,4389,8676.69,17096.3,1419.4852717391304,297432.4,29371.44
1983,4,31,1700,3207.92,41591.29,12701.762666666667,455515.76,70048.16
1983,5,44,2068,4008.57,9467.12,2907.8340909090907,157694.36000000002,19676
1983,6,116,3869,10807.27,16366.74,1387.1119130434784,168911.5,30637.39
1983,7,6,533,1373.2,24302.88,38658.81,116312.41,37386.62
1983,8,7,16,0,12118.27,17209.135714285716,33116.159999999996,12145.14
1983,9,16,102,7.73,991.5699999999999,4728.770625,114864.21,4734.19
1983,10,60,1487,4242.18,4267.73,1105.981551724138,66971.58,11401.3
1983,11,2,2,0,320.7,71550.5,24948.9,3936.6
1983,12,19,832,1535.83,3588.84,2718.056111111111,55120.9,7252.36
1984,1,26,205,402.68,3545.9300000000003,1850.3288461538461,73059.8,9906.99
1984,2,46,1560,6399.79,13398.82,3379.0664444444446,237076.09,27454.56
1984,3,210,5328,9747.5,20531.75,1378.0801960784313,331467.52,37712.52
1984,4,31,1923,3295.38,41980.66,12899.322666666667,432980.87,70906.25
1984,5,51,2480,4317.44,9783.48,2563.0848,167098.49,22114.38
1984,6,149,4857,14922.01,21937.6,1339.7474149659863,213654.36000000002,38385.29
1984,7,7,888,3096.1,11775.9,16118.341428571428,100169.65,17834.3
1984,8,10,29,0,12427.28,15538.169,47477.18,17997.62
1984,9,11,85,2.84,1246.67,7735.0372727272725,114800.52,5500.92
1984,10,67,1803,4713.2,4492.54,1020.9010606060606,70300.18,12650.01
1984,11,4,4,2.09,77.05,15463.96,12896.04,2835.49
1984,12,25,1000,1735.16,5892.92,2696.4839130434784,66783.72,9184.58
1985,1,32,249,463.92,5052.84,2387.934375,98652.96,13393.09
1985,2,44,1742,7965.61,20179.98,4569.816976744186,274134.04,30800.06
1985,3,195,5807,11175.96,25313.43,1673.5852631578948,362748.47,39812.89
1985,4,26,1917,3431.88,42112.12,15530.9612,435122.84,76537.08
1985,5,51,2517,4848.9,11330.32,2766.9886274509804,168720.06,21887.15
1985,6,157,5372,15807.53,23422.74,1450.2829411764706,229841.64,37338.49
1985,7,6,945,1553,74192.11,23951.863333333335,79649.26,27081.670000000002
1985,8,11,29,0,12219.42,13464.894545454545,48246.55,17206.4
1985,9,13,99,1.58,1191.71,7894.376923076923,153136.56,5358.26
1985,10,78,1951,5202.5,5016.29,975.1355128205128,74209.62,12996.77
1985,11,5,8,4.84,415.67999999999995,4144.608,4190.38,1343.8700000000001
1985,12,32,1015,1902.6399999999999,3914.71,1848.534193548387,55360.88,6924.3
1986,1,36,252,692.04,8733.48,3323.3966666666665,152804.27,22558.62
1986,2,52,1600,10269.43,27524.4,4899.322307692308,343777.07,35394.65
