naics_2d,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
NA,169,1214,3118.119173697,15092.106520711,837.4095962256442,173209.852656717,24713.711793562
11,112,6305,21475.3939700098,14558.989970248,3297.953230453211,267668.54099244,54927.63822052
21,1148,32018,65213.447696532,1383205.1625520808,12064.496043781297,8839531.060645254,2117227.423972295
22,562,1932,4491.98533585,911040.272554602,26862.971131901086,5062429.07865157,1390145.448745268
23,307,1771,10436.09274297,35343.877803056,4897.830364317377,1644165.724718315,100904.691282587
31-33,47240,2159518,8903293.618880168,14043251.297642747,5711.946434107671,225550199.9398581,32387443.1840216
42,632,40196,9931.1397764184,155151.3773729842,11514.491042092443,12654243.7045961,325409.31480017
44,242,2237,18446.64258002,355090.7156192974,21168.330574592168,8297150.53406784,706041.7840668
45-46,185,6122,59677.54802064,286775.3850675361,26335.077907113187,8917813.05175893,616513.69362246
48-49,388,2385,7930.64919369,673070.880257367,26432.64324611169,8161825.714251,1236194.24413093
51,4386,270801,1002194.291940639,3999389.4333096296,14400.581476926567,30982519.063948877,9367785.993847134
52,1081,9988,3986.625696535,298369.3237341633,300107.65823591955,18268785.32673229,7301463.93030471
53,460,8325,13168.740699081,32596.15708346283,1443.5381618442827,234061.77413887912,59787.856087495
54,1657,93358,258037.2264986032,219201.51678206908,2883.2758258744593,4815470.239315731,543405.6566050232
56,343,997,2074.9447677438,34975.2522789763,2163.530218462988,505882.07724366,113022.821462266
61,26,44,52.4539991,1227.38497872,1518.85790192,28445.537611,4128.7230746
62,324,1674,3290.11299275,18757.8001428299,1990.9597414902544,667042.706086893,83076.795037159
71,51,2810,1198.4506819,5555.23562111,3204.538460266667,72241.99693799,16194.207062200001
72,142,374,263.21700194699997,44699.14626311,4807.825769921986,492829.90222298,119253.2585196
81,43,61,58.834998575,1166.2099981091,597.6903770785714,35904.14614667,5541.09997191
99,397,103409,295909.326499129,468813.4561726356,46818.84514867761,6907824.772640124,1259626.1608442066
