region,industry_code,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda,industry
Asia Pacific,NA,29,349,381.27011600000003,305.5952071,698.1144872413793,14318.01971,1815.8961689999999,NA
Asia Pacific,1,276,5316,36827.1489798,56287.1704953,8191.271107561594,2180031.2193,233973.8455218,Consumer Non-Durables
Asia Pacific,10,498,20405,181435.524463271,59547.5040027391,4840.161955360221,1531573.11002342,300180.04402934,Healthcare
Asia Pacific,11,44,337,13.314,30728.58734855,732509.4862822727,742313.388999,396160.2956266,Finance
Asia Pacific,12,153,25049,17436.022031002,232093.472142359,18073.283730131574,2087603.600040999,405909.0515686114,Other
Asia Pacific,2,1163,147566,573162.70721863,1217944.55627701,16700.213547542167,17214204.8558589,1724916.1636841,Consumer Durables
Asia Pacific,3,2685,307344,697404.10629135,966512.984567119,9130.50214970086,20405574.252843697,2043188.44148998,Manufacturing
Asia Pacific,4,75,1711,16537.8230468,479937.004615,57786.2561816,3788486.677419,582327.911532,Energy
Asia Pacific,5,1057,34551,141941.34391069,253727.961033931,6007.593876880511,4926076.74484072,664479.7117934499,Chemicals
Asia Pacific,6,2300,478949,743793.478310851,1261116.451486387,7444.1278542197815,16258191.22319223,2101525.801362056,Business Equipment & Software
Asia Pacific,7,172,7542,111612.6981387,1051105.8652102,56823.01542389535,5758049.4447604,1872015.2957602001,Telecommunication
Asia Pacific,8,51,524,4215.830337,257446.3425,79537.08158823529,1443816.707,330454.13889,Utilities
Asia Pacific,9,148,39203,9687.24468382,347170.35503275,51696.24479495238,11620281.530371,449352.386139099,Wholesale & Retail
Europe,1,200,2485,40407.9840713,174795.827743,25424.01625989796,3502915.38924,671680.9083893,Consumer Non-Durables
Europe,10,1062,75025,844315.05410451,356985.2326774671,10679.154115834557,6700109.883378368,1740721.5754957,Healthcare
Europe,11,88,1261,2984.8032223,49463.3628375,728249.497675875,2250668.401686,897638.44450961,Finance
Europe,12,258,43800,177966.0678252,259179.97179029,25622.52300298,4898309.432649,576502.4397164,Other
Europe,2,511,28759,688529.940966,1314761.1432553,42184.72302884087,16927167.211633,1707138.7132367,Consumer Durables
Europe,3,1323,45682,314729.5924902,459412.65296669,10372.120046041096,10927157.336322,1274411.74174077,Manufacturing
Europe,4,307,5308,57758.7662992,1193922.83316572,47968.972243655735,13875858.3233386,2339853.50759452,Energy
Europe,5,750,59371,311402.554091,448661.9042,13851.42902072,9871991.85042,1350908.975185,Chemicals
Europe,6,760,91316,451572.510128988,197321.695835775,7600.994508201602,4354036.623159691,656928.2273096702,Business Equipment & Software
Europe,7,222,6648,62794.681962,876461.352707,69384.1447586937,6362480.818461,2078369.43473302,Telecommunication
Europe,8,30,43,198,45164.93802,43782.12776,599241.7917000001,133111.84349,Utilities
Europe,9,69,1855,11275.8756651004,51093.575502,17715.987781913234,1222903.5401499,139682.13129503,Wholesale & Retail
North America,1,1818,19765,85286.7743697542,381964.553647303,5886.1608937375795,10338349.97606514,1744060.129149544,Consumer Non-Durables
North America,10,9992,133073,1241074.7641985847,463118.9522805389,1540.644903631787,8536078.967363155,2372591.238165302,Healthcare
North America,11,1354,14610,9888.768861933,232343.55673842016,168047.27332275166,15697085.443457592,6058481.025378152,Finance
North America,12,2274,60147,170184.0620732864,915178.2561692672,10758.539468423312,11829649.412115755,2083527.1377484128,Other
North America,2,2323,72029,524771.7394467006,1034229.1248817991,8017.563622218044,14746122.972194474,1719996.7967144577,Consumer Durables
North America,3,8374,167295,529192.7211062129,1018460.0539999973,2831.457380406423,22204377.24040003,2956578.2380161276,Manufacturing
North America,4,1127,52815,106955.455432769,2109918.250649003,19198.572833120812,21615646.06494362,3544454.899029534,Energy
North America,5,2135,85257,243898.6275868818,518209.9601533165,4679.975665734192,8730511.057070682,1469844.440578913,Chemicals
North America,6,13291,656093,2095352.6312813577,1396623.2026033776,2533.153933361189,24932426.271540713,4918018.401928509,Business Equipment & Software
North America,7,764,40989,54439.808506337,1615334.177258009,31377.89108192847,11088620.69167466,3379089.134254681,Telecommunication
North America,8,478,1216,8.3809999,626338.676393866,20998.803446132308,3055525.65761347,948662.917687368,Utilities
North America,9,970,7749,67180.9440287278,429169.2148627658,9029.630602601383,17424202.02918452,1151708.956848919,Wholesale & Retail
Other,1,7,9,74.084,96.519000019999993,376.3881471285714,3314.456141,276.024003,Consumer Non-Durables
Other,10,242,1755,20334.616541812,11337.92417099933,2374.17213136954,221924.648654168,64595.15305384,Healthcare
Other,11,8,14,65.79699934,1226.304899859,2970.8983725,1866.319002,748.0999958,Finance
Other,12,57,333,10287.54563671,124435.1592694,23791.219878926317,483659.1495306,192403.697161826,Other
Other,2,12,16,1.3320142,496.9711689,575.9172441666667,7602.74412,953.242387,Consumer Durables
Other,3,26,88,674.63767419,7550.9231621,5133.4030652,68050.633687,12441.9713189,Manufacturing
Other,4,52,438,13888.169054,457115.8858,71320.01808461538,1926146.5256,508228.35025,Energy
Other,5,9,18,325.536999,7520.98398,12507.358422222223,95368.43103,14740.16596,Chemicals
Other,6,347,1425,11969.658980689,5439.558012505,539.9695046103245,108250.55231588,17880.8745752535,Business Equipment & Software
Other,7,2,3,8.4649999,2.42999981,157.5,274.68401,67.718001,Telecommunication
Other,8,2,3,0,72.002005,617.405515,829.44101,212.099004,Utilities
