sic_2d,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
01,110,6301,21460.0889701098,14447.987970448,3346.200262798131,265081.59889244,54651.00921152
02,1,1,2.1389999,5.7329998,10.312,18.257,-30.321001
10,190,616,12969.10715438,424800.5585418632,23258.658259720687,1957524.1549944407,693617.952329221
12,15,15,97.176007,3962.834945107,6039.79986268,172318.62961995,8796.22200106
13,978,32051,55620.357550932,972481.0100312181,9893.117800122378,6900077.863326163,1445879.128369654
14,90,420,296.51738794,11328.5743528,1793.085264590909,104759.7143819,21286.54281174
15,78,449,8463.13081549,8171.314253013,9423.070077746053,665091.78792,33110.87580866
16,133,872,573.29993194,13819.43564091,3011.9535501714286,742030.243881721,39810.07908333
17,27,32,3.25899998,679.266978121,725.4112713444445,20883.81282777,2039.71603301
20,986,10073,80670.018757921,459594.803903184,12142.356591234688,11056595.52412991,1657417.498716184
21,118,1967,28166.495491,83282.905673,31779.69879940678,3075366.6133,709748.59741
22,288,2101,6516.72360499,17858.25342262,1582.8013776950354,418810.750254,41990.60208863
23,145,330,248.64900063000002,9305.77595318,1812.0528901888113,291645.509068,36367.7421309
24,145,1023,2023.8260026522,30174.26694235,4406.314546474126,457038.65975552,65140.17974315
25,464,5961,11107.351887484,24007.0955261,1301.5625633105603,824636.9765739,83833.59393823
26,898,28365,62582.103717365,260942.330983656,5489.837950609663,4345846.98339248,676965.94112762
27,369,4147,15321.695894462,56871.022120203,3830.5468551922863,1291502.4924661,161540.44010328
28,11418,309958,2728833.3320351527,1926370.406034598,4488.8235668445495,36666706.033128,7242361.184070905
29,568,28206,139422.680274837,3264450.129253398,61180.30013909751,34133741.09835511,5520189.31803534
30,1066,23278,64657.13714070763,179588.861612538,3386.496428377507,3737218.213001473,469087.311075607
31,145,333,405.47800442,2904.70999608,633.3019612449275,113501.523865,12407.65002909
32,590,13168,23113.9751008794,97050.003012167,3775.2467217124786,1555191.03051969,227784.67947904
33,1253,22513,88151.34788949,467960.4396727241,8735.531146764666,8807249.0194396,1018231.636013869
34,1219,9255,27443.8889484172,82051.2112311338,1768.310868742895,2116649.7868044088,281184.363192837
35,7013,417801,1057429.9984166932,1025723.6231240066,3837.557325934468,24136578.72499485,2877355.6258584983
36,9484,770250,1889873.3784219194,2069026.5719679368,3641.4608901528463,29188224.743134458,4297995.59565526
37,3244,243862,2044866.407147648,3772291.8715218375,20779.83220648268,54536440.94413853,5779925.868509116
38,7388,250037,585098.8823793902,395214.07758077426,1731.468671980203,9677933.602189831,1535660.874792514
39,691,13836,31723.6349433894,26875.4421228409,1591.7040831124598,928699.11192301,139571.9483545352
40,47,106,0,93036.97947,31949.43885319149,521483.07799,200950.5063
41,4,5,168.96695699999998,4341.727903,17700.685245,35523.7964,7601.418501
42,105,875,377.468236,113682.008527797,25929.038390184465,3077968.554929,198952.95166883
44,57,118,0,42644.70520927,8333.431899642857,329243.298058,77409.24318800001
45,116,471,34.20300069,169895.9936254,17008.607990344826,1814207.290661,205434.6516969
46,6,8,0,8963.151,12713.594316666666,69662.4529,5470.9490000000005
47,18,24,2.2309999,2701.1643897,4627.5808140555555,48593.55292,8210.733758
48,1160,55182,228855.653606937,3542903.825175019,42495.16128323303,23209425.63890606,7329541.582748901
49,714,2023,4544.085338636,966419.7023056993,22468.20587085705,5414370.78163261,1492734.238528641
50,371,38685,2737.7925655684,121075.9935977323,15792.03089612548,8527837.984235879,204312.861895028
51,268,1519,7194.33821084,34126.1538605709,5299.137950165906,4129215.99638022,121176.220461162
52,48,1483,9866.92066,77940.232578,34373.28250579166,1977175.8404,241354.3150099
53,64,809,0,253081.492273,67441.405243125,8090223.841,566066.139878
54,18,23,0,4284.1220884,4588.71695,160951.18702,10921.751302
55,40,333,8576.97092,239573.5199734984,56176.827005048,3809497.54890094,296660.78656139
56,50,87,0,4709.0699181,1254.6122012600001,122696.04909,14116.10822321
57,29,79,0,3755.5370183,2494.868091785714,163911.70371,12835.5159109
58,65,150,47.500001,28488.06924585,5052.659229676923,333357.46398198,80667.9591995
59,177,5543,59680.29902066,58535.7228366351,8351.725348230058,2889598.71172583,180652.06279906
60,329,3979,94.40899954,91582.781694274,537254.7007315919,8302696.3419952,3339073.2072854
61,139,1321,38.667180693,66218.13191460683,518195.73348271364,3911148.14316472,2195743.55087004
62,272,1479,1478.380183,79533.10638445,187019.559364678,2793974.1567626,1415796.6802994
63,191,740,1.8,60692.019151829,115244.97428482828,3473115.7792811,347734.1029988
64,22,25,96.89299787,1693.502998702,6071.48861386,57248.3279488,13882.1090086
65,72,113,126.144000039,1882.4477350380298,666.3701941055556,21175.802862553,2901.590194394
67,469,8565,11116.389722431,12159.8219454293,1055.163033834486,132575.00112961893,37896.624853528
70,47,188,195.997999647,1304.16799926,799.50739,29517.650021,6207.8989421
72,42,63,39.3819996,1759.121009109,1483.656796002439,59820.958160969996,11857.147042999999
73,4292,300663,1010286.621359956,638408.8083893596,3992.486394450414,11708973.774571769,2456500.3276644275
75,12,19,1.4389999949999999,16310.6199081,8025.563625,47338.434957,14131.81007
76,15,33,0.8609999798,104.1109983201,124.50157150000001,3099.8150996,122.60599989800001
78,62,4664,9503.497813528,7586.74698767,3495.318045789839,194611.5957508,18761.5091367
79,86,2851,1218.1696832,20404.020639051,5709.754329859,202281.56715689,48535.447440902
80,314,1628,3290.159992748,15490.9531449199,1561.4729625325576,356129.757109893,64209.664847329
81,3,3,0,13.907001000000001,617.6416033333334,1880.2052,281.860208
