region,sic_2d,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
Asia Pacific,10,26,100,1710.620008,153987.543801,51213.79010799996,725584.0978,267556.013749901
Asia Pacific,13,27,514,0,27417.893778,8610.621518148148,84183.08604,32284.028169999998
Asia Pacific,14,4,4,1.06438825,2657.21528,8531.7899,14876.75571,2353.57748
Asia Pacific,15,52,406,8369.355141,7320.913283,12847.148676923078,605835.6353,35315.079585
Asia Pacific,20,96,1917,13114.7640089,28409.727522,8802.633413541667,782412.8134,77680.237448
Asia Pacific,21,31,478,9966.808386,19425.64583,25711.86275483871,963562.3482,101596.94234
Asia Pacific,22,56,980,4837.595617,5417.495586,4133.514696428571,178706.0565,13100.932281
Asia Pacific,23,25,44,94.3150005,832.025997,2087.2808644,38407.68601,3194.028053
Asia Pacific,26,74,743,3592.9169191,21778.220808000002,7223.5995801351355,449367.97454,46681.15474
Asia Pacific,27,58,2695,9286.835348,30557.49253,13237.643506896551,713770.9137,69119.5322
Asia Pacific,28,1363,40402,303603.487605561,288510.4465392701,5987.388005083177,6005820.19193914,885786.13345979
Asia Pacific,29,48,1197,16537.8230468,452519.110837,85447.55067979168,3704303.591379,550043.883362
Asia Pacific,30,274,12793,27057.63094589,70096.0932412,5024.075991138686,1347083.546571,166534.6465342
Asia Pacific,32,207,8748,16947.62932852,46356.622389,5070.868168743961,736817.60569,95541.4190549
Asia Pacific,33,399,16222,63153.313083,238982.154867,15789.119402756893,4775553.5681,552230.275525
Asia Pacific,34,109,1504,8592.018831,16660.569071,4065.7521180733947,419862.20205,39082.761441
Asia Pacific,35,1395,205478,345052.32790615,421789.268775498,6991.4717524146345,9151873.4715001,843048.60077314
Asia Pacific,36,2034,413616,747403.229510401,1224881.912450749,8481.51292656131,15657745.15755353,1906184.789680346
Asia Pacific,37,801,107123,517990.14479585,1164240.575929079,22805.024269938578,15976056.398280298,1616889.1723412
Asia Pacific,38,751,105405,125365.100984,98176.5511244,3856.2952268105546,2301065.461756,302149.58270076
Asia Pacific,39,159,7475,14993.699351289999,8383.61706621,3597.3415891886793,407555.8882189,59725.4068222
Asia Pacific,41,3,4,168.96695699999998,4300.5118999999995,23369.449,33944.9074,7529.1985
Asia Pacific,44,3,3,0,0,9420.7956,17493.9912,464.98547
Asia Pacific,45,7,10,0,10921.09021,14463.085428571429,69601.3363,6787.4001499999995
Asia Pacific,48,172,7542,111612.6981387,1051105.8652102,56823.01542389535,5758049.4447604,1872015.2957602001
Asia Pacific,49,51,524,4215.830337,257446.3425,79537.08158823529,1443816.707,330454.13889
Asia Pacific,50,67,37887,1103.026958,109142.31544,80229.08774626866,7849550.959,156449.33668
Asia Pacific,51,62,1016,7.24680582,157.21964275,236.57927636063934,18342.174371,525.032729099
Asia Pacific,54,1,1,0,493.28595,19119.438,18672.719,868.15613
Asia Pacific,55,18,299,8576.97092,237377.534,121691.57400000001,3733715.678,291509.8606
Asia Pacific,60,19,200,0,17007.75196,1620081.4410526315,667091.443,361488.571
Asia Pacific,61,13,120,0,7795.01349854,6573.821725384615,9298.848,2966.8068967
Asia Pacific,62,11,16,13.314,5697.56190001,109966.45763545456,30778.538999,31478.6947399
Asia Pacific,63,1,1,0,228.25999,153779.3,35144.559,226.22299
Asia Pacific,73,196,69782,164054.84343743,132260.39798154,14266.877337082784,2648250.08434,295926.07024899
Asia Pacific,87,6,10,80.1612227,267.306,1635.013805,8289.15835,680.11125
Asia Pacific,99,32,23587,6944.772546052,51322.297029999,16137.88309375,588035.775400999,80830.9037899104
Europe,10,11,32,1144.000006,76208,87231.72636363636,425540.004,130622
Europe,12,1,1,0,1875,61311,152236,4391
Europe,13,178,2745,5465.814587,80724.46136672,6975.160797244318,575319.5583386,137112.51056452
Europe,15,2,3,42.949674,792.4099699999999,12642.8705,35882.865000000005,1404.90222
Europe,16,54,432,524.6949329,4012.9546929,3041.8293994444443,195122.94127,14519.478886
Europe,17,1,1,1.095,1.072,32.021999,13.792999,1.522
Europe,20,122,2265,35218.1760533,153606.628739,34231.68477442623,2956342.16838,543625.2814443
Europe,21,16,27,1451.282015,11038.18199,33474.8916875,362915.8573,89119.4271
Europe,23,8,31,0,1052.604016,2844.605125,16590.1281,2783.824
Europe,25,30,311,422.4508951,1698.0032969000001,1740.655099,54944.58277,7111.0454292
Europe,26,68,606,2866.0785441,30657.736596,10987.534786764705,577438.2282,77719.02298
Europe,27,57,286,4327.4605323,9476.431582,4334.941673859649,168133.3777,36878.870887
Europe,28,1470,86484,1031263.4473615,710415.6537845151,12991.561007641156,14590275.192041645,2757537.3677477
Europe,29,128,2562,52292.9517122,1111323.371799,104231.228390625,13148302.765,2198349.99703
Europe,30,77,1833,17455.9722639,48091.857402,12018.695877103895,888292.709678,113702.6015096
Europe,31,26,109,139.741003,746.503004,1246.5377745454546,26286.80705,3452.903975
Europe,32,41,268,553.0604663,9848.297634999999,7451.66124607317,152741.173527,27196.2220519
Europe,33,148,1603,14548.8791034,107379.122725,16508.065261972788,2020367.6004,242734.337643
Europe,34,57,671,2916.7694101,10531.4589873,4825.733441929825,231974.69027,35905.4719584
Europe,35,634,25979,92491.894273698,112300.095310112,5023.836102947867,3185409.3421221,359399.272558
Europe,36,544,83414,400430.36457411,217513.415334577,12285.84588394179,5220931.183927111,699740.4836247
Europe,37,556,37310,820772.8612017,1386915.1267822,44747.16874576642,18607786.533093,1836939.48988837
Europe,38,610,55478,174559.17541451,118428.228920452,5768.496902950411,2626220.827021723,423977.3564372
Europe,39,1,1,0,90.250839,1937.6273,2436.3359,906.87537
Europe,42,11,51,174.56823,24330.528299999998,124408.28099999999,795746.172,48375.4201
Europe,44,12,19,0,35015.46124626,28893.289510833332,271867.579278,67925.739687
Europe,45,9,10,0,15419.2838,21280.16022222222,154643.92,17242.76796
Europe,47,3,3,0,406.822441,2061.3342733333334,11032.49639,857.2487080000001
Europe,48,222,6648,62794.681962,876461.352707,69384.1447586937,6362480.818461,2078369.43473302
Europe,49,30,43,198,45164.93802,43782.12776,599241.7917000001,133111.84349
Europe,50,13,72,770.0306111004,954.176877,1182.484811675,17044.2123999,2463.53729003
Europe,51,18,66,460.912425,7048.291854,5533.964083888889,206113.604,12335.52295
Europe,52,28,1449,9866.92066,42451.90067,38172.90178571428,971729.538,121305.3891
Europe,53,2,2,0,512.83978,8751.7029,22865.332000000002,2894.1056
Europe,59,8,266,178.011969,126.366321,567.667765,5150.85375,683.576355
Europe,60,25,44,0,33303.72341,1813898.06492,1456344.472,494246.89192
Europe,61,2,4,0,494.931,905918.3,65589.021,12543.4659
Europe,62,33,138,15.362184300000001,14634.4624288,494603.42182866664,660018.361512,373551.04252751
Europe,63,4,4,0,0,123012.4425,22601.086199999998,5292.551229
Europe,64,3,4,0,707,28879.334,35487,7714.5
Europe,67,21,1067,2969.441038,323.2459987,1241.2800062380952,10628.460974,4289.9929331
Europe,70,6,8,0,649.758,3405.153,12396.9081,4550.11694
Europe,73,130,5474,50177.79973398,12969.964634176,4821.88694663937,423715.51647247997,110127.2806927702
Europe,78,21,4505,5941.9637999999995,5736.741989,6798.801266666667,142672.4584,13035.3111
Europe,79,18,2734,1113.177683,3664.833584,6449.161526875,39188.43209,12310.35503
Europe,80,17,510,1428.521004,9394.2731,15333.338764705883,176489.7752,34027.07912
Europe,81,1,1,0,0,1078.6998,1207.1282,198.00021
Europe,87,65,2032,7929.8526013,6962.60006713,5352.500464,441733.664922,66843.4428154
Europe,99,38,33947,161027.4679,85764.1277,82638.53642424243,2365347.335,197522.061
North America,01,110,6301,21460.0889701098,14447.987970448,3346.200262798131,265081.59889244,54651.00921152
North America,02,1,1,2.1389999,5.7329998,10.312,18.257,-30.321001
North America,10,127,299,114.01848138,70274.9934708632,6387.016992281667,328464.6523944408,103683.79962932
North America,12,14,14,97.176007,2087.834945107,2091.8569957285713,20082.62961995,4405.2220010599995
North America,13,773,28792,50154.542963932,864338.654886498,10608.767711505985,6240575.218947563,1276482.589635134
North America,14,86,416,295.45299969,8671.3590728,1472.1945676666667,89882.95867189999,18932.96533174
North America,15,24,40,50.82600049,57.991000013000004,1037.0842594863636,23373.28762,-3609.10599634
North America,16,79,440,48.60499904,9806.48094801,2991.532083579747,546907.302611721,25290.60019733
North America,17,26,31,2.16399998,678.194978121,752.0800895115385,20870.01982877,2038.19403301
North America,20,768,5891,32337.078695721,277578.447642184,9014.18187016639,7317840.54234991,1036111.979823884
North America,21,71,1462,16748.40509,52819.077853,34047.02036521127,1748888.4078,519032.22797
North America,22,232,1121,1679.12798799,12440.75783662,950.7662190707964,240104.693754,28889.66980763
North America,23,106,247,81.33400013,7325.08594018,1745.7671890096153,233347.568818,30114.0330749
North America,24,145,1023,2023.8260026522,30174.26694235,4406.314546474126,457038.65975552,65140.17974315
North America,25,434,5650,10684.900992384,22309.0922292,1271.2105447145161,769692.3938039,76722.54850903
North America,26,752,27007,56119.408254165,205922.861469656,4815.006020420161,3312220.70075248,549459.06737862
North America,27,254,1166,1707.400014162,16837.098008203,1514.5706033258064,409598.2010661,55542.03701628
North America,28,8407,181642,1373964.7211373998,908746.5305675466,2738.7892707308656,15758659.630146587,3519854.661527585
North America,29,340,24009,56703.736461837,1243491.760817398,39615.59302737365,15354988.216376105,2263567.08739334
North America,30,715,8652,20143.53393091763,61400.910969338,1795.9590601653715,1501841.956752473,188850.063031807
North America,31,119,224,265.73700142,2158.20699208,516.9986173431034,87214.71681499999,8954.74605409
North America,32,339,4146,5606.1683059594,40722.552987367,2551.7025065353296,664568.62428269,104787.09137224
North America,33,700,4682,10421.3860362,119135.7630597241,3030.8836210957184,1998952.4818696,220710.975595869
North America,34,1053,7080,15935.1007073172,54859.1831728338,1358.3743988117374,1464812.894484409,206196.129793437
North America,35,4921,186203,619059.6532431452,491390.8720373455,2816.3204223505645,11794438.61744025,1674672.2205173161
North America,36,6756,272612,738606.3533301995,623226.0451652808,1530.4129578187265,8275194.204245137,1689033.3877553425
North America,37,1872,99358,705512.269129898,1218457.3136176583,12905.373182982179,19899770.03894523,2318913.474853546
North America,38,5903,88543,282842.0653812802,178209.03952741897,1066.0174035361454,4734970.957630568,808067.1319804338
North America,39,530,6359,16728.8515920994,18401.1152176109,983.1592811971456,518692.55780311,78939.4991623352
North America,40,47,106,0,93036.97947,31949.43885319149,521483.07799,200950.5063
North America,41,1,1,0,41.216003,694.39398,1578.889,72.220001
North America,42,94,824,202.900006,89351.480227797,14154.34633901087,2282222.382929,150577.53156883
North America,44,42,96,0,7629.24396301,2236.3494012195124,39881.72758,9018.518031
North America,45,98,449,33.6120007,143552.3136155,17144.62491715306,1589908.55936,181394.9085871
North America,46,6,8,0,8963.151,12713.594316666666,69662.4529,5470.9490000000005
North America,47,15,21,2.2309999,2294.3419487,5140.8301222,37561.05653,7353.48505
North America,48,764,40989,54439.808506337,1615334.177258009,31377.89108192847,11088620.69167466,3379089.134254681
North America,49,625,1444,109.083001636,663726.4087805992,17056.290067769536,3370284.69092601,1028939.470144715
North America,50,291,726,864.734996468,10979.5012807323,1309.624406803147,661242.81283598,45399.987924998
North America,51,188,437,6726.17898002,26920.6423638209,6945.5661052745945,3904760.21800922,108315.664782063
North America,52,20,34,0,35488.331908,29053.8155139,1005446.3024,120048.9259099
North America,53,62,807,0,252568.652493,69334.62144774194,8067358.509,563172.034278
North America,54,17,22,0,3790.8361384,3733.9686529411765,142278.46802,10053.595172
North America,55,22,34,0,2195.9859734984,2573.8521909963633,75781.87090094,5150.92596139
North America,56,50,87,0,4709.0699181,1254.6122012600001,122696.04909,14116.10822321
North America,57,29,79,0,3755.5370183,2494.868091785714,163911.70371,12835.5159109
North America,58,65,150,47.500001,28488.06924585,5052.659229676923,333357.46398198,80667.9591995
North America,59,169,5277,59502.28705166,58409.3565156351,8729.134200750303,2884447.85797583,179968.48644406
North America,60,285,3735,94.40899954,41271.306324274,352431.48886254284,6179260.4269952,2483337.7443654
North America,61,124,1197,38.667180693,57928.18741606683,565965.1620990608,3836260.27416472,2180233.27807334
North America,62,228,1325,1449.7039987,59201.08205564,145489.7230151683,2103177.2562516,1010766.94303199
North America,63,186,735,1.8,60463.759161829,114870.75816345269,3415370.1340811,342215.3287798
North America,64,19,21,96.89299787,986.502998702,2046.5747221882352,21761.3279488,6167.6090086
North America,65,67,103,112.553999639,679.17883497803,373.4031639641791,19854.354860553,2200.904194694
North America,67,445,7494,8094.741685491,11813.5399469303,1051.5844834673444,121401.66915561893,33559.217924328
North America,70,22,48,3.180000027,573.42399986,517.0708066666666,13639.91899,1554.923001
North America,72,42,63,39.3819996,1759.121009109,1483.656796002439,59820.958160969996,11857.147042999999
North America,73,3873,224987,789971.685197046,491427.00077398965,3502.9902996132587,8575737.079885488,2036864.2827475374
North America,75,12,19,1.4389999949999999,16310.6199081,8025.563625,47338.434957,14131.81007
North America,76,15,33,0.8609999798,104.1109983201,124.50157150000001,3099.8150996,122.60599989800001
North America,78,41,159,3561.534013528,1850.00499867,1803.2900546090243,51939.1373508,5726.198036700001
North America,79,68,117,104.9920002,16739.187055051,5524.902530605,163093.13506689,36225.092410902
North America,80,297,1118,1861.638988748,6096.6800449199,748.5503283764934,179639.981909893,30182.585727329
North America,81,2,2,0,13.907001000000001,387.112505,673.077,83.85999799999999
North America,82,26,44,52.4539991,1227.38497872,1518.85790192,28445.537611,4128.7230746
North America,86,1,1,17.198999,3.6659999,58.131001,65.362999,-14.162001
North America,87,522,1599,2720.2875282012,6053.46436234007,397.78947035066795,202844.99641617804,19950.3817263488
North America,99,363,53236,158686.850044967,359175.3443226566,43847.208527343304,4734596.129427925,1099719.750141496
Other,10,26,185,10000.468659,124330.02127,51075.76419615385,477935.4008,191756.13895
Other,23,6,8,73,96.06,437.485505,3300.1261400000003,275.857003
Other,26,4,9,3.7,2583.51211,5473.1406050000005,6820.0799,3106.696029
Other,28,178,1430,20001.675930692,18697.77514326603,3819.59232411,311951.019000629,79183.02133583
Other,29,52,438,13888.169054,457115.8858,71320.01808461538,1926146.5256,508228.35025
Other,32,3,6,7.1170001,122.5300008,354.291,1063.62702,259.947
Other,33,6,6,27.76966689,2463.3990209999997,4328.517165,12375.369069999999,2556.04725
Other,35,63,141,826.1229937,243.387001051,130.49932606557377,4857.2939324,235.532010042
Other,36,150,608,3433.4310072089997,3405.19901733,346.34609413125,34354.197408680004,3036.9345948715
Other,37,15,71,591.1320202,2678.8551929,5586.3410066666665,52827.97382,7183.731426
Other,38,124,611,2332.5405996,400.2580085033,177.48857796715447,15676.355781539,1466.80367412
Other,39,1,1,1.084,0.45900002,9.8039999,14.330001,0.167
Other,45,2,2,0.59099999,3.3059998999999998,31.1224995,53.475001,9.5749998
Other,48,2,3,8.4649999,2.42999981,157.5,274.68401,67.718001
Other,49,8,12,21.172,82.0130051,179.859253725,1027.5920066,228.786003926
Other,65,5,10,13.590000400000001,1203.2689000599999,4592.128398,1321.448002,700.6859996999999
Other,67,3,4,52.20699894,23.035999799,268.84833,544.871,47.4139961
Other,70,19,132,192.81799962,80.9859994,288.8386842105263,3480.822931,102.8590011
Other,73,93,420,6082.2929915,1751.444999654,1235.3675731739131,61271.093873800004,13582.69397513
Other,99,4,5,72.4959781,10.835,5593.8552500000005,1991.299802,518.437211
