sic,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
0100,112,6552,23070.1209702098,15690.948970448,3481.592001095413,279796.97289344,58819.99921152
0200,1,1,2.1389999,5.7329998,10.312,18.257,-30.321001
1000,119,509,13010.41536658,396220.389835903,35340.33274287897,1891899.809602122,678892.19994409
1040,57,93,0,37423.5894533602,7820.357438185772,147258.7220743188,53000.591289201
1044,8,15,0,899.0169943,2144.031975,4643.895017,-1192.6810189999999
1090,13,16,16.6917878,997.6935213,1361.2163446307693,5152.326321,983.3074138
1220,7,7,0,3508.7549411,11754.80899602857,164363.63077995,7718.80098508
1221,8,8,97.176007,454.080004007,1039.166871,7954.998839999999,1077.42101598
1311,389,7420,10530.155353252,728167.503120934,16662.635885111362,4698454.482030734,990944.802426236
1381,200,7165,8722.90853248,108012.90762105,6548.062578472362,650436.6467156,163394.83102522
1382,125,1655,3601.468697571,24282.6849308435,2490.0879734431705,235591.4844672,43341.984008028
1389,285,16377,34497.624982629,133661.5724153905,6931.733278909187,1471033.545842626,288544.68153717
1400,90,420,296.51738794,11328.5743528,1793.085264590909,104759.7143819,21286.54281174
1520,43,390,7015.5973965,9755.089700003,7729.4160952365855,346983.25910100003,27497.95840076
1531,10,20,0,48.1379997,2242.80847,22958.623617,-3610.2869969999997
1540,27,48,1878.41260199,1404.45713331,15711.973740888889,341320.838202,14392.3419049
1600,109,710,542.67800099,12894.56559371,3202.5106253009176,665014.340881721,35700.51208933
1623,27,170,57.89893095,1262.1450396999999,2610.719922777778,107346.2041,4787.762014
1700,17,20,3.25899998,67.230000321,98.47511866470589,2013.60104777,121.72100191
1731,10,12,0,612.0369777999999,1791.2027309,18870.21178,1917.9950311
2000,131,2751,42498.0705945,143626.091385,29830.555174732825,3519170.9857,502171.254641
2011,65,373,932.64101201,15873.929965,5696.2601827384615,744481.64595,50278.4529273
2013,1,1,0,1.136,3.184,2.257,-0.391
2015,25,284,0,808.1939967,408.30980136,20283.76515,1604.31797041
2020,13,67,793.99998,1955.803023,3002.4224615376925,45457.7115,9485.0759201
2024,1,1,0,11.39,142.28,152.47099,20.557999
2030,114,2235,6945.10273399,28292.43424478,9165.962216888393,717835.46,111256.0221257
2033,39,68,270.5049995,1619.0099874,1735.4501048358975,45135.8080287,7657.8230125
2040,145,989,10024.5940225,47410.6379537,7512.076276274648,1413586.144421,165566.893773
2050,2,3,0,46.187,175.253495,508.75699000000003,77.872002
2060,114,854,3722.839802,18561.6089392,3370.499376850877,442185.51132,62351.1948603
2070,34,535,1181.3960163,23027.91386122,18536.869409435294,1086129.68110519,56450.94818985
2080,54,551,8462.842011,64756.94088709,21577.842888666666,1169762.8705013,226250.39173032
2082,78,211,7359.7680533,68828.030826,27505.832089871794,949892.78023,241624.742654
2084,15,25,0,847.25388189,3458.6244134666667,38369.4106,6401.6026297
2085,43,85,1018.27001122,8837.3300656,8502.049607209303,210434.25099,51598.0114885
2086,83,1129,1531.9368332010001,53816.129568224,18153.589355409877,1060585.55500274,249219.884227464
2090,48,67,797.3009934,2416.07767837,1557.2522389599999,69617.51805398,10223.96839486
2100,2,2,11.118,123.47500299999999,1605.5149999999999,3115.217,1063.5410299999999
2111,119,1998,29387.394621,86004.89107,32599.333204453782,3139489.5993,737259.56468
2200,106,1112,3579.5788412,7703.6884,2048.3106106442306,199665.817099,18323.2759222
2211,64,436,1933.5096822,4119.7405725,1927.7265776875,105889.44673,8170.29928711
2221,41,379,780.85098935,1805.5819839,824.5459243846154,25024.812298,4446.8859796
2250,28,57,184.90100234,726.43199502,328.9009207307692,10817.590084,1209.75898374
2253,11,13,0,380.6490038,470.077182,6039.50101,928.00800499
2273,41,114,166.4999979,4310.6525083999995,1993.383079,84846.701113,11324.71741099
2300,60,158,47.231999030000004,4955.9199720999995,1954.1945651525423,162024.737594,19974.52103411
2320,19,26,11.200001,1890.3219572,2947.226922631579,62472.10648,9567.170009
2330,16,42,0,1063.05901622,1470.9100003125,17412.844102,2849.9530001
2340,37,61,167.3150005,985.3529948,1638.157773611111,45596.40012,3898.256039
2390,17,51,22.9020001,935.96500186,961.7258569411765,16088.146272,1524.48500869
2400,90,936,1996.9200026302,28289.86609678,6939.86010265909,416247.30699822,62756.81918673
2421,21,26,0,2073.0208524,1339.532096190476,33443.05379,3615.863535
2430,15,38,4.373999962,191.08300047,415.46013598666667,8746.6159053,892.51599
2451,8,8,0,73.04900078,380.26462625,4258.002082,-48.94699909999999
2452,14,22,36.53200006,77.74999892,202.45299585714287,7537.16588,333.28200052
2510,117,798,770.28599897,4821.90418477,1018.2017906666666,170484.436844,19541.71969012
2511,30,265,287.4970014,671.12298861,1071.5757482333333,36953.896398,3175.1510120000003
2520,74,428,1493.940996,2705.1850151,559.8910257432433,77538.681174,7944.0649681
2522,74,739,1458.53198599,2988.32561477,909.8984287716216,92295.6529949,8897.19220455
2531,74,2255,5535.6100109,9554.48002852,3107.9120142972974,370644.687084,30865.643053159998
